group,conversion,spend
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,138.05
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,43.88
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,225.16
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,307.38
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,282.82
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,195.71
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,288.19
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,81.96
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,120.84
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,112.33
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,236.7
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,241.33
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,203.38
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,38.75
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,108.86
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,153.06
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,288.68
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,149.79
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,202.25
Designer,0,NA
Designer,1,159.17
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,168.26
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,22.2
Designer,1,99.43
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,161.29
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,168.16
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,1,75.39
Designer,1,219.41
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
Designer,0,NA
